Match,Date/Time,Competitor,NOC,Result,Competitor,NOC
Match #1,20 Sep,Simon Fairweather,AUS,113 – 104,Balzhinima Tsyrempilov,RUS
Match #2,20 Sep,Wietse van Alten,NED,106 – 102,Sébastien Flûte,FRA
Match #3,20 Sep,Magnus Petersson,SWE,112 – 111,Kim Cheong-Tae,KOR
Match #4,20 Sep,Vic Wunderle,USA,108 – 105,Oh Gyo-Mun,KOR
