Match,Date/Time,Competitor,NOC,Result,Competitor,NOC
41087,20 Sep,300,AUS,113 – 104,2110,RUS
41088,20 Sep,83175,NED,106 – 102,471,FRA
41089,20 Sep,2143,SWE,112 – 111,83168,KOR
41090,20 Sep,83205,USA,108 – 105,1978,KOR
