Match,Date/Time,Competitor,NOC,Result,Competitor,NOC
41183,19 Sep,1962,KOR,106 – 100,2061,POL
41184,19 Sep,83170,KOR,110 – 105,83186,RUS
41185,19 Sep,83169,KOR,114 – 110,80502,JPN
41186,19 Sep,82794,PRK,107 – 103,1992,ITA
