Match,Date/Time,Competitor,NOC,Result,Competitor,NOC
41197,17 Sep,1962,KOR,164 – 159,80469,AUS
41198,17 Sep,80470,AUS,162 – 147,2102,RSA
41199,17 Sep,390,CHN,160 – 157,2159,TPE
41200,17 Sep,2061,POL,162 – 152,83188,SWE
41201,17 Sep,83183,POL,159 – 158,2184,UKR
41202,17 Sep,83186,RUS,158 – 157,2158,TPE
41203,17 Sep,83170,KOR,162 – 152,80472,BLR
41204,17 Sep,564,GBR,157 – 154,2170,TUR
41205,17 Sep,83169,KOR,162 – 158,83193,TPE
41206,17 Sep,382,CHN,163 – 157,513,GER
41207,17 Sep,80502,JPN,160 – 158,80468,AUS
41208,17 Sep,83204,USA,158 – 155,80480,CUB
41209,17 Sep,82794,PRK,162 – 160,83200,UKR
41210,17 Sep,83203,UKR,161 – 153,510,GER
41211,17 Sep,1992,ITA,162 – 160,83191,SWE
41212,17 Sep,80499,ITA,156 – 156,1887,INA
