Match,Date/Time,Competitor,NOC,Result,Competitor,NOC
Match #1,19 Sep,Yun Mi-Jin,KOR,107 – 105,Kim Su-Nyeong,KOR
Match #2,19 Sep,Kim Nam-Sun,KOR,114 – 107,Choe Ok-Sil,PRK
