Match,Date/Time,Competitor,NOC,Result,Competitor,NOC
41092,20 Sep,2110,RUS,167 – 164,1973,KOR
41093,20 Sep,300,AUS,167 – 163,80478,CUB
41094,20 Sep,83175,NED,166 – 164,2187,KAZ
41095,20 Sep,471,FRA,166 – 159,83176,NED
41096,20 Sep,1921,ITA,169 – 166,83168,KOR
41097,20 Sep,2143,SWE,167 – 164,80476,CHN
41098,20 Sep,83205,USA,171 – 166,1953,KAZ
41099,20 Sep,1978,KOR,166 – 160,83164,JPN
